Player,Pos,School,Ht,Wt,40yd,Vertical,Bench,Broad_Jump,3Cone,Shuttle,Draft_Pick,Draft_Year
Andy Eby,C,Kansas State,75,300,5.1,29,28,103,7.46,4.55,-1,2002
Steve Edwards,OG,Central Florida,77,355,5.5,23,20,94,8.37,5.15,-1,2002
Toniu Fonoti,OG,Nebraska,76,349,5.49,28.5,32,97,8.12,4.81,1,2002
Melvin Fowler,C,Maryland,75,300,5.46,27,32,99,7.51,4.6,1,2002
Jonathan Goodwin,OG,Michigan,75,318,5.13,,,,,,1,2002
Andre Gurode,OG,Colorado,76,316,5.34,30.5,,100,8.15,5.05,1,2002
Eric Heitmann,OG,Stanford,76,305,5.22,28,33,103,7.56,4.6,1,2002
Artis Hicks,OG,Memphis,76,303,5.08,29.5,22,104,7.85,4.64,-1,2002
Matt Hill,OT,Boise State,78,300,5.33,28.5,20,101,7.58,4.54,1,2002
Jermese Jones,OT,Virginia,77,337,5.29,,22,,,,-1,2002
Levi Jones,OT,Arizona State,77,304,5.21,,,103,,,1,2002
Doug Kaufusi,OT,Utah,78,313,5.47,,,,,,-1,2002
Antwan Kirk-Hughes,OG,Texas,75,316,5.43,27,,95,8.28,4.91,-1,2002
Kyle Kosier,OT,Arizona State,77,293,5.09,29.5,24,108,7.34,4.49,1,2002
Broderick Lancaster,OG,Colorado State,76,310,5.26,,14,,,,-1,2002
Tango McCauley,OG,Arkansas,75,304,5.32,31,29,104,7.9,4.78,-1,2002
Curt McGill,C,Georgia,75,290,5.07,,30,,,,-1,2002
Seth McKinney,C,Texas A&M,75,300,4.97,33.5,23,105,7.36,4.51,1,2002
Bryant McKinnie,OT,Miami (FL),80,343,5.13,,,,,,1,2002
Terrence Metcalf,OT,Mississippi,75,318,5.31,,28,,,,1,2002
Ben Miller,C,Air Force,74,263,4.92,37.5,18,114,7.28,4.46,-1,2002
Qasim Mitchell,OG,North Carolina A&T,77,335,5.28,26,22,,8.07,4.94,-1,2002
Shannon Money,OG,Arkansas,75,295,5.22,33.5,25,107,,,-1,2002
Marquise Muldrow,OG,Arizona State,74,316,5.31,25.5,29,98,8.12,4.8,-1,2002
Melvin Paige,OG,South Carolina,77,314,5.34,23.5,30,,,,-1,2002
Scott Peters,C,Arizona State,75,300,5.07,33.5,36,97,7.68,4.69,1,2002
Dwayne Pierce,OG,LSU,74,319,5.5,26,,93,8.12,5.23,-1,2002
Chester Pitts,OT,San Diego State,76,320,5.22,30,,106,7.84,4.81,1,2002
Mike Pucillo,OG,Auburn,76,317,5.31,28,26,,,,1,2002
Zach Quaccia,C,Stanford,76,309,5.37,26.5,23,93,7.9,4.63,-1,2002
Victor Rogers,OG,Colorado,78,331,5.57,25,20,93,9,5.16,1,2002
Frank Romero,OG,Oklahoma,76,300,5.3,27.5,22,88,7.65,4.79,-1,2002
