Player,Pos,School,Ht,Wt,40yd,Vertical,Bench,Broad_Jump,3Cone,Shuttle,Draft_Pick,Draft_Year
Chuma Edoga,OT,USC,75,308,5.19,,21,,,,1,2019
David Edwards,OT,Wisconsin,78,308,5.28,25.5,,99,7.69,4.77,1,2019
Bobby Evans,OT,Oklahoma,76,312,5.2,,22,,,,1,2019
Cody Ford,OT,Oklahoma,76,329,5.21,28.5,19,104,8.27,4.87,1,2019
Hjalte Froholdt,OL,Arkansas,77,306,5.2,27.5,31,105,7.51,4.54,1,2019
Lamont Gaillard,OL,Georgia,75,305,,,,,,,1,2019
Derwin Gray,OT,Maryland,76,320,5.26,,26,90,,,1,2019
Donnell Greene,OT,Minnesota,77,335,,,,,,,-1,2019
Ethan Greenidge,OL,Villanova,76,327,,,,,,,-1,2019
Phil Haynes,OL,Wake Forest,76,322,5.2,31,33,108,7.76,4.95,1,2019
Nate Herbig,OL,Stanford,75,335,5.41,24,29,90,8.15,5.04,-1,2019
Tytus Howard,OT,Alabama State,77,322,5.05,29.5,21,103,8.34,4.87,1,2019
Mitch Hyatt,OT,Clemson,77,303,,25.5,28,102,7.72,4.52,-1,2019
Martez Ivey,OL,Florida,77,315,,,,,,,-1,2019
Andre James,OT,UCLA,76,299,5.32,29,21,105,8,4.84,-1,2019
Elgton Jenkins,OL,Mississippi State,76,310,,28,29,109,7.77,4.62,1,2019
Devon Johnson,OT,Ferris State,79,338,5.16,27.5,26,89,8.34,5.28,-1,2019
Fred Johnson,OL,Florida,79,326,,,,,,,-1,2019
Tyler Jones,OT,North Carolina State,75,306,,31.5,23,111,7.75,4.82,-1,2019
Michael Jordan,OT,Ohio State,78,312,5.27,32.5,19,116,7.71,4.71,1,2019
Brandon Knight,OT,Indiana,76,314,,,,,,,-1,2019
Chris Lindstrom,OL,Boston Col.,76,308,4.91,30.5,25,117,7.61,4.54,1,2019
Greg Little,OT,Mississippi,77,310,5.33,25,,113,,4.74,1,2019
Erik McCoy,OL,Texas A&M,76,303,4.89,31,29,107,8.28,4.62,1,2019
Kaleb McGary,OT,Washington,79,317,5.05,33.5,23,111,7.66,4.58,1,2019
Connor McGovern,OL,Penn State,77,308,,,28,112,7.66,4.57,1,2019
Joshua Miles,OT,Morgan State,77,314,5.32,36,,109,8.07,4.75,1,2019
Yosh Nijman,OT,Virginia Tech,79,324,,,27,114,8.07,4.5,-1,2019
Iosua Opeta,OL,Weber State,76,301,5.02,33,39,112,8.06,4.94,-1,2019
Javon Patterson,OL,Mississippi,75,307,5.13,27.5,27,98,7.72,4.78,1,2019
Ross Pierschbacher,OT,Alabama,76,307,5.2,22.5,20,,7.83,4.7,1,2019
Trey Pipkins,OT,Sioux Falls,78,309,5.12,33.5,16,114,7.61,4.7,1,2019
Ryan Pope,OT,San Diego State,79,320,,,25,,,,-1,2019
Ben Powers,OL,Oklahoma,76,307,,,21,,,,1,2019
Isaiah Prince,OT,Ohio State,78,305,5.09,27,23,115,7.9,5.02,1,2019
Dalton Risner,OT,Kansas State,77,312,5.3,28.5,23,110,7.69,4.52,1,2019
Tyler Roemer,OT,San Diego State,78,312,5.21,30.5,18,108,7.75,4.76,-1,2019
Dru Samia,OT,Oklahoma,77,305,5.29,27.5,28,101,7.89,4.7,1,2019
Max Scharping,OT,Northern Illinois,78,327,,28,27,108,7.77,4.69,1,2019
William Sweet,OT,North Carolina,78,313,5.27,30.5,23,111,8.01,5,-1,2019
Trevon Tate,OL,Memphis,74,293,,,22,,,,-1,2019
Jawaan Taylor,OT,Florida,77,312,,,24,,,,1,2019
Oli Udoh,OT,Elon,77,323,5.05,28.5,26,105,7.88,5.05,-1,2019
Jonah Williams,OT,Alabama,76,302,5.12,28,23,100,8.01,4.79,1,2019
Trey Adams,OL,Washington,80,318,5.6,24.5,,92,,,-1,2020
Hakeem Adeniji,OL,Kansas,76,302,5.17,34,26,115,,,1,2020
Tremayne Anchrum,OL,Clemson,74,314,5.21,24.5,26,104,,,1,2020
Ben Bartch,OL,Saint John's (MN),78,309,,,,,,,1,2020
Mekhi Becton,OL,Louisville,79,364,5.1,,23,,,,1,2020
Tyler Biadasz,OL,Wisconsin,76,314,,,,,,,1,2020
Ben Bredeson,OL,Michigan,77,315,,,,,,,1,2020
Cohl Cabral,OL,Arizona State,77,300,,,20,,,,-1,2020
Saahdiq Charles,OL,LSU,76,321,5.05,,,,,,1,2020
Cameron Clark,OL,Charlotte,76,308,5.29,25,26,101,,,1,2020
Ezra Cleveland,OL,Boise State,78,311,4.93,30,30,111,7.26,4.46,1,2020
Trystan Colon-Castillo,OL,Missouri,75,313,,,11,,,,-1,2020
Lloyd Cushenberry,OL,LSU,75,312,5.27,,25,,,,1,2020
Jack Driscoll,OL,Auburn,77,306,5.02,29.5,23,114,,,1,2020
Yasir Durant,OL,Missouri,78,331,5.52,25,21,,,,-1,2020
Jake Hanson,OL,Oregon,76,303,5.5,,33,,,,1,2020
Nick Harris,OL,Washington,73,302,5.1,29.5,20,103,,,1,2020
Charlie Heck,OL,North Carolina,80,311,5.16,28,21,112,8.02,4.86,1,2020
Matt Hennessy,OL,Temple,76,307,5.18,30,23,110,7.45,4.6,1,2020
Justin Herron,OL,Wake Forest,76,308,5.26,33,27,105,8.41,4.88,1,2020
Robert Hunt,OL,Louisiana-Lafayette,77,323,,,,,,,1,2020
Keith Ismael,OL,San Diego State,75,309,5.34,32,,108,8.14,4.65,1,2020
Cordel Iwuagwu,OL,TCU,75,309,5.22,27,25,94,8.03,4.87,-1,2020
Austin Jackson,OL,USC,77,322,5.07,31,27,115,7.95,,1,2020
Jonah Jackson,OL,Ohio State,75,306,5.23,26,28,98,7.83,5.02,1,2020
Joshua Jones,OL,Houston,77,319,5.27,28.5,24,109,,,1,2020
Solomon Kindley,OL,Georgia,75,337,,,,,,,1,2020
Shane Lemieux,OL,Oregon,76,310,5.11,25.5,,107,8.13,4.9,1,2020
Damien Lewis,OL,LSU,74,327,5.24,30,27,108,,,1,2020
Colton McKivitz,OL,West Virginia,78,306,5.35,26,20,106,7.87,5,1,2020
John Molchon,OL,Boise State,77,309,5.13,34,26,109,7.85,4.73,-1,2020
Kyle Murphy,OL,Rhode Island,75,316,5.3,28,19,104,7.81,4.68,-1,2020
